,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,1593000,-227,1611000,1562000,110.527,17.61198,26/11/2021,Cierre
1,ACERINOX,101100,-476,103850,99500,1.534.014,15.62914,26/11/2021,Cierre
2,ACS,210200,-616,217900,209800,1.656.529,35.09391,26/11/2021,Cierre
3,AENA,1284500,-877,1349000,1274500,271.884,35.32062,26/11/2021,Cierre
4,ALMIRALL,107500,-165,109900,105600,652.615,7.00016,26/11/2021,Cierre
5,AMADEUS,567400,-750,575000,528200,3.171.939,178.66322,26/11/2021,Cierre
6,ARCELORMIT.,242550,-710,249900,242150,1.236.744,30.382070000000002,26/11/2021,Cierre
7,B.SANTANDER,27830,-892,29200,27830,116.318.082,330.24091,26/11/2021,Cierre
8,BA.SABADELL,5890,-609,6064,5810,46.218.426,27.417959999999997,26/11/2021,Cierre
9,BANKINTER,43060,-530,44310,40400,4.334.206,18.84168,26/11/2021,Cierre
10,BBVA,48460,-734,50540,48460,43.912.406,216.65089,26/11/2021,Cierre
11,CAIXABANK,22850,-499,23420,22760,17.477.544,40.23353,26/11/2021,Cierre
12,CELLNEX,527400,197,530600,510000,1.224.395,64.06886,26/11/2021,Cierre
13,CIE AUTOMOT.,250200,-414,259000,249800,196.687,4.9901599999999995,26/11/2021,Cierre
14,ENAGAS,198700,-139,200800,197750,1.130.861,22.49558,26/11/2021,Cierre
15,ENDESA,200800,-200,202800,199300,1.941.590,39.02297,26/11/2021,Cierre
16,FERROVIAL,247700,-870,263200,247700,1.972.290,49.9182,26/11/2021,Cierre
17,FLUIDRA,329500,-135,334000,320000,519.250,17.04961,26/11/2021,Cierre
18,GRIFOLS CL.A,171650,-275,176400,170800,792.051,13.70791,26/11/2021,Cierre
19,IAG,15510,-1559,16940,15325,131.182.539,209.63852,26/11/2021,Cierre
20,IBERDROLA,99460,-311,101800,99080,19.748.774,197.496,26/11/2021,Cierre
21,INDITEX,292400,-494,303000,290000,5.178.739,152.35179,26/11/2021,Cierre
22,INDRA A,101600,-278,103300,100900,692.616,7.07407,26/11/2021,Cierre
23,INM.COLONIAL,81650,-400,83350,81300,1.008.458,8.26945,26/11/2021,Cierre
24,MAPFRE,18255,-246,18490,18055,7.021.424,12.84046,26/11/2021,Cierre
25,MELIA HOTELS,58380,-777,60720,56760,3.071.265,18.10095,26/11/2021,Cierre
26,MERLIN,98260,-423,101150,98000,805.732,7.964810000000001,26/11/2021,Cierre
27,NATURGY,241700,-110,242700,239000,571.131,13.77849,26/11/2021,Cierre
28,PHARMA MAR,582800,118,597600,565000,159.289,9.23977,26/11/2021,Cierre
29,R.E.C.,184000,-30,185000,182600,1.544.626,28.426809999999996,26/11/2021,Cierre
30,REPSOL,97080,-735,100160,96200,19.077.658,187.09841,26/11/2021,Cierre
31,SIEMENS GAME,233800,354,238100,216500,2.451.954,56.52183,26/11/2021,Cierre
32,SOLARIA,166150,-241,169550,164000,618.864,10.32508,26/11/2021,Cierre
33,TELEFONICA,39090,-288,39515,38505,40.583.950,158.87221,26/11/2021,Cierre
34,VISCOFAN,571000,-44,579500,566500,65.576,3.74131,26/11/2021,Cierre
