,Nombre,Dif,Max,Min,Fecha
0,ACCIONA,"-0,19","161,1000","158,5000",2021-11-29 17:30:24.343095
1,ACERINOX,"0,15","10,3450","10,0550",2021-11-29 17:30:24.352628
2,ACS,"2,47","21,5900","21,0300",2021-11-29 17:30:24.360497
3,AENA,"0,70","132,4500","129,0500",2021-11-29 17:30:24.368423
4,ALMIRALL,"0,37","10,8600","10,6300",2021-11-29 17:30:24.376255
5,AMADEUS,"2,36","58,5600","56,7800",2021-11-29 17:30:24.384486
6,ARCELORMIT.,"1,01","25,3300","24,3650",2021-11-29 17:30:24.392821
7,B.SANTANDER,"0,02","2,8560","2,7755",2021-11-29 17:30:24.400776
8,BA.SABADELL,"0,68","0,6138","0,5920",2021-11-29 17:30:24.409534
9,BANKINTER,"1,18","4,4370","4,3350",2021-11-29 17:30:24.417610
10,BBVA,"-0,90","4,9730","4,8015",2021-11-29 17:30:24.425168
11,CAIXABANK,"0,09","2,3350","2,2770",2021-11-29 17:30:24.433673
12,CELLNEX,"0,95","53,3400","52,3200",2021-11-29 17:30:24.442034
13,CIE AUTOMOT.,"0,40","25,3800","24,7800",2021-11-29 17:30:24.456329
14,ENAGAS,"1,26","20,2400","19,7650",2021-11-29 17:30:24.466830
15,ENDESA,"0,35","20,3000","19,9650",2021-11-29 17:30:24.475239
16,FERROVIAL,"1,33","25,5400","24,8800",2021-11-29 17:30:24.483168
17,FLUIDRA,"2,43","34,4000","33,3000",2021-11-29 17:30:24.490524
18,GRIFOLS CL.A,"-2,53","17,2300","16,6850",2021-11-29 17:30:24.498729
19,IAG,"-0,03","1,6380","1,5320",2021-11-29 17:30:24.506219
20,IBERDROLA,"-0,30","10,0650","9,8980",2021-11-29 17:30:24.514476
21,INDITEX,"1,47","30,1300","29,3600",2021-11-29 17:30:24.522220
22,INDRA A,"1,08","10,4000","10,1800",2021-11-29 17:30:24.530058
23,INM.COLONIAL,"0,73","8,3400","8,1850",2021-11-29 17:30:24.538836
24,MAPFRE,"0,05","1,8585","1,8245",2021-11-29 17:30:24.547474
25,MELIA HOTELS,"-1,92","5,9800","5,7000",2021-11-29 17:30:24.556569
26,MERLIN,"1,06","10,1150","9,8200",2021-11-29 17:30:24.565397
27,NATURGY,"1,90","24,8700","24,0800",2021-11-29 17:30:24.574514
28,PHARMA MAR,"-0,62","58,7400","56,4200",2021-11-29 17:30:24.584608
29,R.E.C.,"0,65","18,6200","18,2200",2021-11-29 17:30:24.594238
30,REPSOL,"2,10","10,1100","9,7990",2021-11-29 17:30:24.603244
31,SIEMENS GAME,"0,43","24,1000","23,1700",2021-11-29 17:30:24.612055
32,SOLARIA,"2,29","17,1900","16,5000",2021-11-29 17:30:24.621761
33,TELEFONICA,"1,34","3,9900","3,9030",2021-11-29 17:30:24.631450
34,VISCOFAN,"-0,53","57,3500","56,2000",2021-11-29 17:30:24.639763
